name,lat,lon
Wolmersdorf,54.07715,9.10363
Wrohm,54.2127447881436,9.37984816873626
Nordermeldorf,54.13136,8.99435
Tensbüttel-Röst,54.108979434948594,9.24357700678635
Süderdorf,54.2193617376415,9.34410840416507
Oesterwurth,54.21255,8.98353
Herzogtum Lauenburg,53.60132651515152,10.586605303030305
Albsfelde,53.680569999999996,10.69432
Alt Mölln,53.62249,10.65775
Aumühle bei Hamburg,53.528180000000006,10.31357
Bäk bei Ratzeburg,53.71405,10.78621
Bälau,53.616719999999994,10.62172
Basedow,53.4174161542424,10.5836433227539
Basthorst,53.578030000000005,10.47128
Behlendorf,53.69922,10.66799
Berkenthin,53.73066,10.64776
Besenthal,53.53021,10.74237
Bliestorf,53.768809999999995,10.60245
Börnsen,53.46926,10.28125
Borstorf,53.61371,10.56475
